Qty,Value,Device,Package,Parts,Description,FABRICANT,REFERENCE,VALUE
1,0ZCK0050FF2E,0ZCK0050FF2E,FUSC2214X125N,F1,"BEL FUSE - CIRCUIT PROTECTION - 0ZCK0050FF2E - Resettable Fuse, PPTC, 0805 (2012 Metric), 0ZCK Series, 6 VDC, 500 mA, 1 A, 0.1 s",Bel Circuit Protection,0ZCK0050FF2E,
1,0ZCK0075FF2E,0ZCK0075FF2E,FUSC2214X125N,F2,PTC Resettable Fuse 0.75A(hold) 1.5A(trip) 6VDC 40A 0.6W 0.2s 0.09Ohm SMD Solder Pad 0805 T/R Automotive,Bel Circuit Protection,0ZCK0075FF2E,
6,100k,R-EU-R100K-1%-0402,R0402,"R8, R9, R10, R14, R16, R28","RESISTOR, European symbol",,,100k
19,100nF-16V,C-EU-C100NF-X7R-16V-0402,C0402,"C2, C9, C15, C16, C19, C22, C24, C27, C35, C36, C37, C38, C40, C42, C43, C45, C47, C53, C54","CAPACITOR, European symbol",,,100nF-16V
1,10R-1%,R-EU-R10-1%-0402,R0402,R12,"RESISTOR, European symbol",,,10R-1%
4,10k - 1%,R-EU-R10K-1%-0402,R0402,"R17, R18, R19, R20","RESISTOR, European symbol",,,10k - 1%
2,10k - 1%,R-EU-R10K-1%-0402,R0402,"R11, R24","RESISTOR, European symbol",,,10k - 1%
1,10µH,CDRH5D28NP-100NC,CDRH5D28,L1,Fixed Inductors 10uH 1.30A,Sumida,CDRH5D28NP-100NC,10µH
1,11.5k - 1%,R-EU-R11.5K-1%-50V-0402,R0402,R33,"RESISTOR, European symbol",,,11.5k - 1%
1,115K-1%,R-EU-R115K-1%-0402,R0402,R15,"RESISTOR, European symbol",,,115K-1%
1,118K-1%,R-EU-R118K-1%-0402,R0402,R7,"RESISTOR, European symbol",,,118K-1%
1,1982633-1,1982633-1,19826331,J6,Connecteurs carte à carte et mezzanine BATTERY CONN 3 POSITION,TE Connectivity,1982633-1,
1,1M,R-EU-R1M-1%-0402,R0402,R27,"RESISTOR, European symbol",,,1M
8,1µF 6.3V,C-EU-C1µF-X5R-6.3V-0603,C0603,"C7, C10, C11, C12, C39, C41, C48, C49","CAPACITOR, European symbol",,,1µF 6.3V
1,1µF-6.3V,C-EU-C1µF-X5R-6.3V-0402,C0402,C8,"CAPACITOR, European symbol",,,1µF-6.3V
2,2.2µF-16V,"C-EU-C2,2µF-X7R-16V-0805",C0805,"C29, C30","CAPACITOR, European symbol",,,2.2µF-16V
1,200-1%,R-EU-R200-1%-0402,R0402,R5,"RESISTOR, European symbol",,,200-1%
4,220k,R-EU-R220K-1%-0402,R0402,"R21, R22, R25, R32","RESISTOR, European symbol",,,220k
1,4.53K-1%,R-EU-R4.53K-1%-0402,R0402,R4,"RESISTOR, European symbol",,,4.53K-1%
18,4.7uF,C-EU-C4.7µF-X5R-6.3V-0805,C0805,"C1, C4, C5, C6, C13, C14, C17, C21, C23, C25, C26, C31, C32, C33, C34, C44, C46, C52","CAPACITOR, European symbol",,,
1,40.2K-1%,R-EU-R40.2K-1%-0402,R0402,R6,"RESISTOR, European symbol",,,40.2K-1%
1,434331013822,434331013822,434331013822_PCKG,S3,Interrupteurs de contact WS-TASU SMD Switch 3.5x2.9 x1.35mm,Würth Elektronik ,,
1,47K-2%,ERT-J0EP473GM,R0402,R1,Multilayer NTC Thermistors (Automotive Grade),,,47K-2%
2,5.1K,R-EU-R5.1K-1%-0402,R0402,"R2, R3","RESISTOR, European symbol",,,5.1K
1,5uF,C-EU-C5UF-X7R-6.3V-0402,C0402,C3,"CAPACITOR, European symbol",,,5uF
1,665K-1%,R-EU-R665K-1%-0402,R0402,R13,"RESISTOR, European symbol",,,665K-1%
1,750K-1%,R-EU-R750K-1%-0402,R0402,R26,"RESISTOR, European symbol",,,750K-1%
1,75k,R-EU-R75K-1%-0402,R0402,R23,"RESISTOR, European symbol",,CRCW040275K0FKED,75k
1,824001,824001,SOT23-6,D1,"diode TVS, 82400 Series, Bidirectionelle",Würth,,
1,9pF - 50V,C-EU-C9PF-C0G-50V-0402,C0402,C28,"CAPACITOR, European symbol",,,9pF - 50V
1,BSS123,BSS123,SOT23,Q1,N-CHANNEL MOS FET,ON SemiConductors,BSS123,
1,ESDS312DBVR,ESDS312DBVR,SOT95P270X145-5N,U7,3.6V Data-Line Surge and 30kV ESD Protection Diode Array 5-SOT-23 -40 to 125,Texas Instruments,ESDS312DBVR,
1,FFC2B35-12-G,FFC2B35-12-G,GCT_FFC2B35-12-G,J2,"0.5mm Side entry Flat Flexible Cable Connector, 12pin,  bottom contacts",Global Connector Technology,FFC2B35-12-G,
1,FTSH-105-01-L-DV-K-TR,FTSH-105-01-L-DV-K-TR,FTSH10501LDVKTR,J3,"CONN HEADER 10POS DUAL .05"" PTH",SAMTEC,FTSH-105-01-L-DV-K-TR,
1,HFW6R-1STE1H1LF,HFW6R-1STE1H1LF,HFW6R-1STE1H1LF,J4,"Connecteurs FFC et FPC FFC/FPC 6 positions, 1mm, right angle, bottom contact",Amphenol,HFW6R-1STE1H1LF,
1,LR_Y8SF-U1V2-1,LR_Y8SF-U1V2-1,LRY8SFU1V21,D2,"Osram Opto Micro SIDELED Series Red LED, 120",OSRAM,LR Y8SF-U1V2-1,
3,MBR0530T1G,MBR0530T1G,SOD123,"D3, D4, D5","Schottky Rectifier, 30 V, 500 mA, Single",,,
1,MP2607DL-LF-P,MP2607DL-LF-P,QFN-14,U1,Li + LINEAR Charger WithSystem Power Path Management,Monolithic Power Systems,MP2607DL-LF-P,
1,NCP115AMX150TCG,NCP115AMX150TCG,VREG_NCV8160AMX330TBG,U3,LDO Regulator - High PSRR - 300mA - Input Voltage 1.7V/5.5V - Ouput Voltage 1.5V,onsemi,NCP115AMX150TCG,
1,NCP115AMX180TCG,NCP115AMX180TCG,VREG_NCV8160AMX330TBG,U8,LDO Regulator - High PSRR - 300mA - Input Voltage 1.7V/5.5V - Ouput Voltage 1.8V,onsemi,NCP115AMX180TCG,
1,NCP115AMX280TCG,NCP115AMX280TCG,VREG_NCV8160AMX330TBG,U9,LDO Regulator - High PSRR - 300mA - Input Voltage 1.7V/5.5V - Ouput Voltage 2.8V,onsemi,NCP115AMX280TCG,
1,NTR3C21NZT1G,NTR3C21NZT1G,SOT-23,T1,"MOSFET – Power, Single,",ON Semiconductor,NTR3C21NZT1G,
1,OK-01F024-04,OK-01F024-04,OK-01F024-04,X1,BTB connector pitch 0.4mm 24pos,Shanghai Belite Technology Co.,OK-01M024-04,
4,RE1C001UNTCL,RE1C001UNTCL,SOTFL50P160X85-3N,"Q2, Q5, Q6, Q7","MOSFET,N-channel,20V,100mA,SOT416FL",ROHM Semiconductor,RE1C001UNTCL,
1,RE1C001ZPTL,RE1C001ZPTL,RE1C001ZPTL,Q4,"P-Channel MOSFET, 100 mA, 20 V, 3-Pin SOT-416FL ROHM RE1C001ZPTL",ROHM Semiconductor,RE1C001ZPTL,
1,RZM002P02T2L,RZM002P02T2L,ROHM_SOT-723,Q3,Pch -20V -200mA Small Signal MOSFET,ROHM,RZM002P02T2L,
12,SG06280N,SG06280N,SG06280N,"S1, S2, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14","Tactile ""Key-Pad"" Dome Switches",snaptron,SG06280N,
1,STM32H573VIT6,STM32H573VIT6,LQFP-100_STM,U4,"Arm ® Cortex ® -M33 32-bit MCU+TrusZone® + FPU, 375 DMIPS",STMicroelectronics,STM32H573VIT6,
1,TLVH431AQDBZR,TLVH431AQDBZR,SOT23_TLVH,U5,"Low voltage adjustable 1.5% precision shunt regulators, SOT23",NXP,TLVH431AQDBZR,
1,TPS62000DGS,TPS62000DGS,SOP50P490X110-10N,IC2,"TPS62000DGSG4, Switching Regulator, Buck Controller, 600mA, Adjustable, 0.8 to 5.5V, 1000kHz, 10-Pin MSOP, VSSOP",Texas Instruments,TPS62000DGS,
1,USB4510-03-1-A_REVA,USB4510-03-1-A_REVA,GCT_USB4510-03-1-A_REVA,J8,"Connecteurs USB USB C Rec 16P 3u"" Mid Mnt 1.6mm O-set SMT L = 6.5mm S-Spring",Global Connector Technology,USB4510-03-1-A,
1,XC6194AA05ER-G,XC6194AA05ER-G,TOREX_USP-8B06,U2,Power saving Push Button Load switch,TOREX,XC6192AA05ER-G,
